Name,Ministry,Description,Sector,Target Audience,Level,Beneficiary State,Source,Source URL,Scheme ID,Is Active,Scraped At,Created At,Updated At
"Pradhan Mantri Credit Scheme for Powerloom Weavers","Government of India","Direct Benefit Transfer Scheme","Direct Benefit Transfer","Citizens","Central","All","dbt-bharat","https://www.dbtbharat.gov.in/central-scheme/list","dbt-1755427817747-lp8p0yhj9",Yes,2025-08-17T10:50:06.876Z,2025-08-17T10:50:17.797Z,2025-08-17T10:50:17.797Z
"Pradhan Mantri Dakshta Aur Kushalta Sampann Hitgrahi (PM-DAKSH)","Ministry Of Social Justice and Empowerment","No description available","Skills & Employment","Individual","Central","All","api","https://www.myscheme.gov.in","oBe0F5gB5uF80_MGFI_6",Yes,2025-08-15T18:33:31.999Z,2025-08-15T18:35:41.647Z,2025-08-15T18:35:41.647Z
"Pradhan Mantri Kaushal Vikas Yojana","Government of India","Direct Benefit Transfer Scheme","Direct Benefit Transfer","Citizens","Central","All","dbt-bharat","https://www.dbtbharat.gov.in/central-scheme/list","dbt-1755427817028-lwl69l5ys",Yes,2025-08-17T10:50:06.876Z,2025-08-17T10:50:17.078Z,2025-08-17T10:50:17.078Z
"Pradhan Mantri Kaushal Vikas Yojana - Short Term Training","Ministry Of Skill Development And Entrepreneurship","No description available","Business & Entrepreneurship, Skills & Employment","Individual","Central","All","api","https://api.myscheme.gov.in/search/v5/schemes?lang=en&q=%5B%5D&keyword=&sort=&from=0&size=10","o6GzF5gBXu-iUKXqLXTE",Yes,2025-08-17T09:54:54.299Z,2025-08-15T16:25:33.006Z,2025-08-17T09:54:54.819Z
"Pradhan Mantri Kaushal Vikas Yojana - Special Projects","Ministry Of Skill Development And Entrepreneurship","No description available","Business & Entrepreneurship, Skills & Employment","Infra","Central","All","api","https://api.myscheme.gov.in/search/v5/schemes?lang=en&q=%5B%5D&keyword=&sort=&from=0&size=10","scazF5gB0AGc0F0iIDP3",Yes,2025-08-17T09:54:54.300Z,2025-08-15T16:25:33.216Z,2025-08-17T09:54:55.029Z
"Pradhan Mantri Kisan Samman Nidhi","Ministry Of Agriculture and Farmers Welfare","No description available","Agriculture,Rural & Environment, Social welfare & Empowerment","Family","Central","All","api","https://api.myscheme.gov.in/search/v5/schemes?lang=en&q=%5B%5D&keyword=&sort=&from=0&size=10","RxezF5gB5uF80_MGII8A",Yes,2025-08-17T09:54:54.299Z,2025-08-15T16:25:33.110Z,2025-08-17T09:54:54.923Z
"Pradhan Mantri Kisan Urja Suraksha Evam Utthan Mahabhiyan Scheme For Farmers.","Ministry Of New and Renewable Energy","No description available","Utility & Sanitation, Transport & Infrastructure","Infra","Central","Jammu and Kashmir","api","https://api.myscheme.gov.in/search/v5/schemes?lang=en&q=%5B%5D&keyword=&sort=&from=0&size=10","7sa0F5gB0AGc0F0iEjNP",Yes,2025-08-17T09:54:54.299Z,2025-08-15T16:25:32.901Z,2025-08-17T09:54:54.712Z
"Pradhan Mantri Kisan Urja Suraksha evam Utthaan Mahabhiyan Scheme","Government of India","Direct Benefit Transfer Scheme","Direct Benefit Transfer","Citizens","Central","All","dbt-bharat","https://www.dbtbharat.gov.in/central-scheme/list","dbt-1755427816485-vj9xgntt9",Yes,2025-08-17T10:50:06.876Z,2025-08-17T10:50:16.534Z,2025-08-17T10:50:16.534Z
"Pradhan Mantri Matru Vandana Yojana","Government of India","Direct Benefit Transfer Scheme","Direct Benefit Transfer","Citizens","Central","All","dbt-bharat","https://www.dbtbharat.gov.in/central-scheme/list","dbt-1755427818893-bwjkvaxk0",Yes,2025-08-17T10:50:06.876Z,2025-08-17T10:50:18.943Z,2025-08-17T10:50:18.943Z
"Pradhan Mantri Matsya Sampada Yojana","Government of India","Direct Benefit Transfer Scheme","Direct Benefit Transfer","Citizens","Central","All","dbt-bharat","https://www.dbtbharat.gov.in/central-scheme/list","dbt-1755427808034-m0ezp5d9y",Yes,2025-08-17T10:50:06.875Z,2025-08-17T10:50:08.083Z,2025-08-17T10:50:08.083Z
"Pradhan Mantri Matsya Sampada Yojana: Medium Scale Ornamental Fish Rearing Unit (Fresh Water) - Haryana","Not specified","No description available","Agriculture,Rural & Environment","Individual","Central","All","api","https://api.myscheme.gov.in/search/v5/schemes?lang=en&q=%5B%5D&keyword=&sort=&from=0&size=10","",Yes,2025-08-15T16:31:04.885Z,2025-08-15T16:31:04.956Z,2025-08-15T16:31:04.956Z
"Pradhan Mantri Matsya Sampada Yojana: Medium Scale Ornamental Fish Rearing Unit (Fresh Water) - Haryana","Not specified","No description available","Agriculture,Rural & Environment","Individual","Central","All","api","https://api.myscheme.gov.in/search/v5/schemes?lang=en&q=%5B%5D&keyword=&sort=&from=0&size=10","",Yes,2025-08-15T16:32:32.139Z,2025-08-15T16:32:32.202Z,2025-08-15T16:32:32.202Z
"Pradhan Mantri Matsya Sampada Yojana: Medium Scale Ornamental Fish Rearing Unit (Fresh Water) - Haryana","Not specified","No description available","Agriculture,Rural & Environment","Individual","State","Haryana","bulk-api","https://api.myscheme.gov.in/search/v5/schemes?lang=en&q=%5B%5D&keyword=&sort=&from=0&size=10","k8bCF5gB0AGc0F0iCTZ2",Yes,2025-08-17T09:39:24.643Z,2025-08-15T16:25:32.571Z,2025-08-17T09:39:24.732Z
"Pradhan Mantri Matsya Sampada Yojana: Medium Scale Ornamental Fish Rearing Unit (Fresh Water) - Haryana","Not specified","No description available","Agriculture,Rural & Environment","Individual","Central","All","api","https://api.myscheme.gov.in/search/v5/schemes?lang=en&q=%5B%5D&keyword=&sort=&from=0&size=10","",Yes,2025-08-15T16:31:48.922Z,2025-08-15T16:31:48.983Z,2025-08-15T16:31:48.983Z
"Pradhan Mantri Matsya Sampada Yojana: Medium Scale Ornamental Fish Rearing Unit (Fresh Water) - Haryana","Not specified","No description available","Agriculture,Rural & Environment","Individual","Central","All","api","https://api.myscheme.gov.in/search/v5/schemes?lang=en&q=%5B%5D&keyword=&sort=&from=0&size=10","",Yes,2025-08-15T16:31:26.942Z,2025-08-15T16:31:27.003Z,2025-08-15T16:31:27.003Z
"Pradhan Mantri Matsya Sampada Yojana: Medium Scale Ornamental Fish Rearing Unit (Fresh Water) - Haryana","Not specified","No description available","Agriculture,Rural & Environment","Individual","Central","All","api","https://api.myscheme.gov.in/search/v5/schemes?lang=en&q=%5B%5D&keyword=&sort=&from=0&size=10","",Yes,2025-08-15T16:32:10.612Z,2025-08-15T16:32:10.681Z,2025-08-15T16:32:10.681Z
"Pradhan Mantri Matsya Sampada Yojana: Three Wheeler with Ice Box Including E-rickshaws for Fish Vending - Haryana","Not specified","No description available","Agriculture,Rural & Environment","Individual","State","Haryana","api","https://www.myscheme.gov.in","iKHCF5gBXu-iUKXqCXei",Yes,2025-08-15T18:33:32.004Z,2025-08-15T18:35:41.955Z,2025-08-15T18:35:41.955Z
"Pradhan Mantri Mudra Yojana","Ministry Of Finance","No description available","Banking,Financial Services and Insurance","Infra","Central","All","api","https://api.myscheme.gov.in/search/v5/schemes?lang=en&q=%5B%5D&keyword=&sort=&from=0&size=10","cqGzF5gBXu-iUKXqGnRv",Yes,2025-08-17T09:54:54.300Z,2025-08-15T16:25:33.323Z,2025-08-17T09:54:55.134Z
"Pradhan Mantri Suraksha Bima Yojana","Ministry Of Finance","No description available","Banking,Financial Services and Insurance","Individual","Central","All","api","https://api.myscheme.gov.in/search/v5/schemes?lang=en&q=%5B%5D&keyword=&sort=&from=0&size=10","TRezF5gB5uF80_MGII9K",Yes,2025-08-17T09:54:54.300Z,2025-08-15T16:25:33.528Z,2025-08-17T09:54:55.608Z
"Pradhan Mantri Uchchatar Shiksha Protsahan (PM -USP) Central Sector Interest Subsidy Scheme","Government of India","Direct Benefit Transfer Scheme","Direct Benefit Transfer","Citizens","Central","All","dbt-bharat","https://www.dbtbharat.gov.in/central-scheme/list","dbt-1755427808874-q1tcj5c21",Yes,2025-08-17T10:50:06.875Z,2025-08-17T10:50:08.927Z,2025-08-17T10:50:08.927Z
"Pradhan Mantri Uchchatar Shiksha Protsahan (PM -USP) Central Sector Scheme of Scholarship for College and University students","Government of India","Direct Benefit Transfer Scheme","Direct Benefit Transfer","Citizens","Central","All","dbt-bharat","https://www.dbtbharat.gov.in/central-scheme/list","dbt-1755427808563-xrqfev44o",Yes,2025-08-17T10:50:06.875Z,2025-08-17T10:50:08.613Z,2025-08-17T10:50:08.613Z
"Pradhan Mantri Uchchatar Shiksha Protsahan (PM -USP) Special Scholarship Scheme for Jammu & Kashmir and Ladakh","Government of India","Direct Benefit Transfer Scheme","Direct Benefit Transfer","Citizens","Central","All","dbt-bharat","https://www.dbtbharat.gov.in/central-scheme/list","dbt-1755427808771-m0hiyhy73",Yes,2025-08-17T10:50:06.875Z,2025-08-17T10:50:08.821Z,2025-08-17T10:50:08.821Z
"Pradhan Mantri Uchchatar Shiksha Protsahan (PM-USP) Central Sector Scheme of Scholarship for College and University students","Ministry of Education","No description available","Education & Learning","Individual","Central","All","api","https://api.myscheme.gov.in/search/v5/schemes?lang=en&q=%5B%5D&keyword=&sort=&from=0&size=10","",Yes,2025-08-15T16:32:32.141Z,2025-08-15T16:32:32.403Z,2025-08-15T16:32:32.403Z
"Pradhan Mantri Uchchatar Shiksha Protsahan (PM-USP) Central Sector Scheme of Scholarship for College and University students","Ministry of Education","No description available","Education & Learning","Individual","Central","All","api","https://api.myscheme.gov.in/search/v5/schemes?lang=en&q=%5B%5D&keyword=&sort=&from=0&size=10","",Yes,2025-08-15T16:32:10.615Z,2025-08-15T16:32:10.882Z,2025-08-15T16:32:10.882Z
"Pradhan Mantri Uchchatar Shiksha Protsahan (PM-USP) Central Sector Scheme of Scholarship for College and University students","Ministry of Education","No description available","Education & Learning","Individual","Central","All","api","https://api.myscheme.gov.in/search/v5/schemes?lang=en&q=%5B%5D&keyword=&sort=&from=0&size=10","",Yes,2025-08-15T16:31:26.943Z,2025-08-15T16:31:27.222Z,2025-08-15T16:31:27.222Z
"Pradhan Mantri Uchchatar Shiksha Protsahan (PM-USP) Central Sector Scheme of Scholarship for College and University students","Ministry of Education","No description available","Education & Learning","Individual","Central","All","api","https://api.myscheme.gov.in/search/v5/schemes?lang=en&q=%5B%5D&keyword=&sort=&from=0&size=10","",Yes,2025-08-15T16:31:48.923Z,2025-08-15T16:31:49.183Z,2025-08-15T16:31:49.183Z
"Pradhan Mantri Uchchatar Shiksha Protsahan (PM-USP) Central Sector Scheme of Scholarship for College and University students","Ministry of Education","No description available","Education & Learning","Individual","Central","All","api","https://api.myscheme.gov.in/search/v5/schemes?lang=en&q=%5B%5D&keyword=&sort=&from=0&size=10","",Yes,2025-08-15T16:31:04.885Z,2025-08-15T16:31:05.167Z,2025-08-15T16:31:05.167Z
"Pradhan Mantri Uchchatar Shiksha Protsahan (PM-USP) Central Sector Scheme of Scholarship for College and University students","Ministry of Education","No description available","Education & Learning","Individual","Central","All","bulk-api","https://api.myscheme.gov.in/search/v5/schemes?lang=en&q=%5B%5D&keyword=&sort=&from=0&size=10","k6GzF5gBXu-iUKXqIHSj",Yes,2025-08-17T09:39:24.643Z,2025-08-15T16:25:32.797Z,2025-08-17T09:39:24.984Z
"Pradhan Mantri Uchchatar Shiksha Protsahan Yojana - Special Scholarship Scheme for Jammu & Kashmir and Ladakh","Ministry of Education","No description available","Education & Learning","Individual","Central","Jammu and Kashmir, Ladakh","api","https://www.myscheme.gov.in","mMbCF5gB0AGc0F0iejaN",Yes,2025-08-15T18:33:32.005Z,2025-08-15T18:35:42.005Z,2025-08-15T18:35:42.005Z
"Pradhan Mantri Uchchatar Shiksha Protsahan Yojana: Central Sector Interest Subsidy Scheme","Ministry of Education","No description available","Banking,Financial Services and Insurance, Education & Learning","Individual","Central","All","api","https://www.myscheme.gov.in","9aH-F5gBXu-iUKXqSHg0",Yes,2025-08-15T18:33:31.999Z,2025-08-15T18:35:41.699Z,2025-08-15T18:35:41.699Z
"Pradhan Mantri Ujjwala Yojana","Government of India","Direct Benefit Transfer Scheme","Direct Benefit Transfer","Citizens","Central","All","dbt-bharat","https://www.dbtbharat.gov.in/central-scheme/list","dbt-1755427816695-nvg0b0jzf",Yes,2025-08-17T10:50:06.876Z,2025-08-15T18:35:41.749Z,2025-08-17T10:50:16.751Z
"Pradhan Mantri Vaya Vandana Yojana","Government of India","Direct Benefit Transfer Scheme","Direct Benefit Transfer","Citizens","Central","All","dbt-bharat","https://www.dbtbharat.gov.in/central-scheme/list","dbt-1755427807931-ssjjiwq87",Yes,2025-08-17T10:50:06.875Z,2025-08-17T10:50:07.979Z,2025-08-17T10:50:07.979Z
"Pre-Matric Scholarship Scheme for ST students","Government of India","Direct Benefit Transfer Scheme","Direct Benefit Transfer","Citizens","Central","All","dbt-bharat","https://www.dbtbharat.gov.in/central-scheme/list","dbt-1755427818172-kjb2yxez1",Yes,2025-08-17T10:50:06.876Z,2025-08-17T10:50:18.221Z,2025-08-17T10:50:18.221Z
"Pre-Matric Scholarship Scheme for Scheduled Castes and Others","Government of India","Direct Benefit Transfer Scheme","Direct Benefit Transfer","Citizens","Central","All","dbt-bharat","https://www.dbtbharat.gov.in/central-scheme/list","dbt-1755427810817-zco87b1xq",Yes,2025-08-17T10:50:06.875Z,2025-08-17T10:50:10.865Z,2025-08-17T10:50:10.865Z
"Prime Minister Internship Scheme","Government of India","Direct Benefit Transfer Scheme","Direct Benefit Transfer","Citizens","Central","All","dbt-bharat","https://www.dbtbharat.gov.in/central-scheme/list","dbt-1755427813103-m9bzmcr4b",Yes,2025-08-17T10:50:06.876Z,2025-08-17T10:50:13.153Z,2025-08-17T10:50:13.153Z
"Prime Minister scholarship scheme","Government of India","Direct Benefit Transfer Scheme","Direct Benefit Transfer","Citizens","Central","All","dbt-bharat","https://www.dbtbharat.gov.in/central-scheme/list","dbt-1755427809487-2ex64gsgv",Yes,2025-08-17T10:50:06.875Z,2025-08-17T10:50:09.535Z,2025-08-17T10:50:09.535Z
"Prime Minister's Employment Generation Programme","Ministry Of Micro, Small and Medium Enterprises","No description available","Business & Entrepreneurship, Banking,Financial Services and Insurance, Social welfare & Empowerment, Skills & Employment","Infra","Central","All","api","https://www.myscheme.gov.in","pxe0F5gB5uF80_MGFY_X",Yes,2025-08-16T12:14:32.155Z,2025-08-15T18:35:41.536Z,2025-08-16T12:54:09.250Z
"Prime Minister's Scholarship Scheme","Ministry Of Defence","No description available","Education & Learning","Individual","Central","All","api","https://www.myscheme.gov.in","0qG0F5gBXu-iUKXqFXRV",Yes,2025-08-15T18:33:32.002Z,2025-08-15T18:35:41.854Z,2025-08-15T18:35:41.854Z
"Prime Minister's Scholarship Scheme for Railway Protection Force (RPF)","Government of India","Direct Benefit Transfer Scheme","Direct Benefit Transfer","Citizens","Central","All","dbt-bharat","https://www.dbtbharat.gov.in/central-scheme/list","dbt-1755427816817-byic7l2y1",Yes,2025-08-17T10:50:06.876Z,2025-08-17T10:50:16.869Z,2025-08-17T10:50:16.869Z
"Prime Ministers Scholarship Scheme PMSS","Government of India","Direct Benefit Transfer Scheme","Direct Benefit Transfer","Citizens","Central","All","dbt-bharat","https://www.dbtbharat.gov.in/central-scheme/list","dbt-1755427807519-6j2vfcx9c",Yes,2025-08-17T10:50:06.875Z,2025-08-17T10:50:07.570Z,2025-08-17T10:50:07.570Z
"Prime Minister’s Fellowship for Doctoral Research","Ministry Of Science And Technology","No description available","Education & Learning, Science, IT & Communications","Individual","Central","All","api","https://api.myscheme.gov.in/search/v5/schemes?lang=en&q=%5B%5D&keyword=&sort=&from=0&size=10","cBe4F5gB5uF80_MGM5Bp",Yes,2025-08-17T09:54:54.298Z,2025-08-15T16:25:32.687Z,2025-08-17T09:54:54.487Z
"Prime Minister’s Internship Scheme","Ministry of Corporate Affairs","No description available","Skills & Employment","Individual","Central","All","api","https://www.myscheme.gov.in","LBfAF5gB5uF80_MGb5Io",Yes,2025-08-15T18:33:32.003Z,2025-08-15T18:35:41.903Z,2025-08-15T18:35:41.903Z
"Programme for Apprenticeship","Government of India","Direct Benefit Transfer Scheme","Direct Benefit Transfer","Citizens","Central","All","dbt-bharat","https://www.dbtbharat.gov.in/central-scheme/list","dbt-1755427808979-9t0bof4s8",Yes,2025-08-17T10:50:06.875Z,2025-08-17T10:50:09.028Z,2025-08-17T10:50:09.028Z
"R and D Programme in Water Sector","Government of India","Direct Benefit Transfer Scheme","Direct Benefit Transfer","Citizens","Central","All","dbt-bharat","https://www.dbtbharat.gov.in/central-scheme/list","dbt-1755427812676-thf28ukr0",Yes,2025-08-17T10:50:06.876Z,2025-08-17T10:50:12.726Z,2025-08-17T10:50:12.726Z
"RGNIYD-Academic, Training and Capacity Building Programmes","Government of India","Direct Benefit Transfer Scheme","Direct Benefit Transfer","Citizens","Central","All","dbt-bharat","https://www.dbtbharat.gov.in/central-scheme/list","dbt-1755427812885-l6ffl6398",Yes,2025-08-17T10:50:06.876Z,2025-08-17T10:50:12.936Z,2025-08-17T10:50:12.936Z
"Raw Material Supply Scheme","Government of India","Direct Benefit Transfer Scheme","Direct Benefit Transfer","Citizens","Central","All","dbt-bharat","https://www.dbtbharat.gov.in/central-scheme/list","dbt-1755427817648-plboaalbx",Yes,2025-08-17T10:50:06.876Z,2025-08-17T10:50:17.696Z,2025-08-17T10:50:17.696Z
"Rehabilitation Assistance under the Scheme of Rehabilitation of Bonded Labour","Government of India","Direct Benefit Transfer Scheme","Direct Benefit Transfer","Citizens","Central","All","dbt-bharat","https://www.dbtbharat.gov.in/central-scheme/list","dbt-1755427814245-tkyphlk2y",Yes,2025-08-17T10:50:06.876Z,2025-08-17T10:50:14.295Z,2025-08-17T10:50:14.295Z
"Revised Integrated Housing Scheme (RIHS)-2016 for Beedi, IOMC,LSDM,CINE Workes","Government of India","Direct Benefit Transfer Scheme","Direct Benefit Transfer","Citizens","Central","All","dbt-bharat","https://www.dbtbharat.gov.in/central-scheme/list","dbt-1755427814814-xovc1skvk",Yes,2025-08-17T10:50:06.876Z,2025-08-17T10:50:14.863Z,2025-08-17T10:50:14.863Z
"Samarth Scheme","Government of India","Direct Benefit Transfer Scheme","Direct Benefit Transfer","Citizens","Central","All","dbt-bharat","https://www.dbtbharat.gov.in/central-scheme/list","dbt-1755427817440-10eligrkl",Yes,2025-08-17T10:50:06.876Z,2025-08-17T10:50:17.491Z,2025-08-17T10:50:17.491Z
"Scheme for Adolescent Girls","Government of India","Direct Benefit Transfer Scheme","Direct Benefit Transfer","Citizens","Central","All","dbt-bharat","https://www.dbtbharat.gov.in/central-scheme/list","dbt-1755427818790-7cs56kdjb",Yes,2025-08-17T10:50:06.876Z,2025-08-17T10:50:18.838Z,2025-08-17T10:50:18.838Z
"Scheme for Development of Silk Industry","Government of India","Direct Benefit Transfer Scheme","Direct Benefit Transfer","Citizens","Central","All","dbt-bharat","https://www.dbtbharat.gov.in/central-scheme/list","dbt-1755427817336-ipni2hiin",Yes,2025-08-17T10:50:06.876Z,2025-08-17T10:50:17.386Z,2025-08-17T10:50:17.386Z
"Scheme for Economic Empowered of DNT/ NT/SNTs (SEED) students","Government of India","Direct Benefit Transfer Scheme","Direct Benefit Transfer","Citizens","Central","All","dbt-bharat","https://www.dbtbharat.gov.in/central-scheme/list","dbt-1755427812467-6jxiqtqr6",Yes,2025-08-17T10:50:06.875Z,2025-08-17T10:50:12.517Z,2025-08-17T10:50:12.517Z
"Scheme for Human Resource Development in Sports","Government of India","Direct Benefit Transfer Scheme","Direct Benefit Transfer","Citizens","Central","All","dbt-bharat","https://www.dbtbharat.gov.in/central-scheme/list","dbt-1755427812570-are8qqr2w",Yes,2025-08-17T10:50:06.876Z,2025-08-17T10:50:12.619Z,2025-08-17T10:50:12.619Z
"Scheme for In-situ Upgradation of Plain Powerloom","Government of India","Direct Benefit Transfer Scheme","Direct Benefit Transfer","Citizens","Central","All","dbt-bharat","https://www.dbtbharat.gov.in/central-scheme/list","dbt-1755427817231-zwjjatjn3",Yes,2025-08-17T10:50:06.876Z,2025-08-17T10:50:17.281Z,2025-08-17T10:50:17.281Z
"Scheme for Pension and Medical Aid to Artistes","Government of India","Direct Benefit Transfer Scheme","Direct Benefit Transfer","Citizens","Central","All","dbt-bharat","https://www.dbtbharat.gov.in/central-scheme/list","dbt-1755427813209-v4kru223b",Yes,2025-08-17T10:50:06.876Z,2025-08-17T10:50:13.260Z,2025-08-17T10:50:13.260Z
"Scheme for containing population decline of small minority community","Government of India","Direct Benefit Transfer Scheme","Direct Benefit Transfer","Citizens","Central","All","dbt-bharat","https://www.dbtbharat.gov.in/central-scheme/list","dbt-1755427816069-e69144xc9",Yes,2025-08-17T10:50:06.876Z,2025-08-17T10:50:16.117Z,2025-08-17T10:50:16.117Z
"Scheme of Development of Particularly Vulnerable Tribal Groups","Government of India","Direct Benefit Transfer Scheme","Direct Benefit Transfer","Citizens","Central","All","dbt-bharat","https://www.dbtbharat.gov.in/central-scheme/list","dbt-1755427818482-la480pesg",Yes,2025-08-17T10:50:06.876Z,2025-08-17T10:50:18.531Z,2025-08-17T10:50:18.531Z
"Scheme of Grant in Aid to Voluntary Organizations working for welfare of STs","Government of India","Direct Benefit Transfer Scheme","Direct Benefit Transfer","Citizens","Central","All","dbt-bharat","https://www.dbtbharat.gov.in/central-scheme/list","dbt-1755427818585-nc9g4z21d",Yes,2025-08-17T10:50:06.876Z,2025-08-17T10:50:18.633Z,2025-08-17T10:50:18.633Z
"Scheme of Grant-in-aid to Voluntary and other Organisations working for Scheduled Castes","Government of India","Direct Benefit Transfer Scheme","Direct Benefit Transfer","Citizens","Central","All","dbt-bharat","https://www.dbtbharat.gov.in/central-scheme/list","dbt-1755427811443-9xqw4vrjn",Yes,2025-08-17T10:50:06.875Z,2025-08-17T10:50:11.492Z,2025-08-17T10:50:11.492Z
"Scheme of North Eastern Council of Financial Support to the Student of North East Region","Government of India","Direct Benefit Transfer Scheme","Direct Benefit Transfer","Citizens","Central","All","dbt-bharat","https://www.dbtbharat.gov.in/central-scheme/list","dbt-1755427813313-59lam08vh",Yes,2025-08-17T10:50:06.876Z,2025-08-17T10:50:13.361Z,2025-08-17T10:50:13.361Z
"Scheme of Research, Development and Consultancies on Generic issues of Public Sector Enterprises","Government of India","Direct Benefit Transfer Scheme","Direct Benefit Transfer","Citizens","Central","All","dbt-bharat","https://www.dbtbharat.gov.in/central-scheme/list","dbt-1755427809905-17pgc1312",Yes,2025-08-17T10:50:06.875Z,2025-08-17T10:50:09.953Z,2025-08-17T10:50:09.953Z
"Scholarship Scheme Of Satyajit Ray Film And Television Institute Kolkata","Government of India","Direct Benefit Transfer Scheme","Direct Benefit Transfer","Citizens","Central","All","dbt-bharat","https://www.dbtbharat.gov.in/central-scheme/list","dbt-1755427814047-1e7dqksgf",Yes,2025-08-17T10:50:06.876Z,2025-08-17T10:50:14.095Z,2025-08-17T10:50:14.095Z
"Short Term Training Programme component of HRD Programme","Government of India","Direct Benefit Transfer Scheme","Direct Benefit Transfer","Citizens","Central","All","dbt-bharat","https://www.dbtbharat.gov.in/central-scheme/list","dbt-1755427816382-7vbu3hw8w",Yes,2025-08-17T10:50:06.876Z,2025-08-17T10:50:16.431Z,2025-08-17T10:50:16.431Z
"Stipend to Differently Abled Candidates under the Scheme of Vocational Rehabilitation Centres for Handicapped","Government of India","Direct Benefit Transfer Scheme","Direct Benefit Transfer","Citizens","Central","All","dbt-bharat","https://www.dbtbharat.gov.in/central-scheme/list","dbt-1755427814349-rcv8yvlut",Yes,2025-08-17T10:50:06.876Z,2025-08-17T10:50:14.657Z,2025-08-17T10:50:14.657Z
"Stipend to Trainees under the Scheme of Welfare of SC ST Job-Seekers through Coaching, Guidance and Vocational Training","Government of India","Direct Benefit Transfer Scheme","Direct Benefit Transfer","Citizens","Central","All","dbt-bharat","https://www.dbtbharat.gov.in/central-scheme/list","dbt-1755427814711-zmkfy93a5",Yes,2025-08-17T10:50:06.876Z,2025-08-17T10:50:14.761Z,2025-08-17T10:50:14.761Z
"Swatantrata sainik samman pension scheme","Government of India","Direct Benefit Transfer Scheme","Direct Benefit Transfer","Citizens","Central","All","dbt-bharat","https://www.dbtbharat.gov.in/central-scheme/list","dbt-1755427809384-s7rpybii3",Yes,2025-08-17T10:50:06.875Z,2025-08-17T10:50:09.434Z,2025-08-17T10:50:09.434Z
"Technology Development Utilization Program for Women","Government of India","Direct Benefit Transfer Scheme","Direct Benefit Transfer","Citizens","Central","All","dbt-bharat","https://www.dbtbharat.gov.in/central-scheme/list","dbt-1755427810717-xvpgowqn0",Yes,2025-08-17T10:50:06.875Z,2025-08-17T10:50:10.765Z,2025-08-17T10:50:10.765Z
"Vanchit Ikai Samuh aur Vargon ki Arthik Sahayata (VISVAS) Yojana","Government of India","Direct Benefit Transfer Scheme","Direct Benefit Transfer","Citizens","Central","All","dbt-bharat","https://www.dbtbharat.gov.in/central-scheme/list","dbt-1755427811962-p8evxu0fl",Yes,2025-08-17T10:50:06.875Z,2025-08-17T10:50:12.011Z,2025-08-17T10:50:12.011Z
"Varishtha Pension Bima Yojana","Government of India","Direct Benefit Transfer Scheme","Direct Benefit Transfer","Citizens","Central","All","dbt-bharat","https://www.dbtbharat.gov.in/central-scheme/list","dbt-1755427807833-bgihe3hdh",Yes,2025-08-17T10:50:06.875Z,2025-08-17T10:50:07.881Z,2025-08-17T10:50:07.881Z
"Visvesvaraya PhD Scheme for Electronics and IT Phase II","Government of India","Direct Benefit Transfer Scheme","Direct Benefit Transfer","Citizens","Central","All","dbt-bharat","https://www.dbtbharat.gov.in/central-scheme/list","dbt-1755427813516-a31zjfjyq",Yes,2025-08-17T10:50:06.876Z,2025-08-17T10:50:13.564Z,2025-08-17T10:50:13.564Z
